value,count
isImplicit=true,5645144
inline=true,894354
constexpr=true,804152
"explicitlyDefaulted=""default""",750230
trivial=true,366448
isUsed=true,336816
"explicitlyDefaulted=""deleted""",142100
isPartOfExplicitCast=true,130170
hasConstParam=true,122772
isArrow=false,101322
isReferenced=true,73584
isInvalid=true,68474
isStandardLayout=true,61126
isAggregate=true,61054
isTriviallyCopyable=true,49090
isTrivial=true,48994
isLiteral=true,48600
isPOD=true,36752
isImported=true,31936
isPostfix=false,7200
isParameterPack=true,3650
isConstexpr=true,3142
hasConstexprNonCopyMoveConstructor=true,2906
isEmpty=true,2742
isArrow=true,1416
hasElse=true,472
isExpr=true,396
isDependent=true,354
isInstantiationDependent=true,354
isPostfix=true,354
isPolymorphic=true,236
virtual=true,236
isPack=true,236
hasVariantMembers=true,236
isBitfield=true,236
variadic=true,184
isAbstract=true,118
pure=true,118
isLambda=true,96
isGenericLambda=true,24
